"Offence Id","Date Reported","Date Occured","Time Occured","Location","No: of Victims","Shift of the victim","Day Occured","Loc Type","Crime Type","Neighbourhood","NPU","X-Co-ordinate","Y-Co-ordinate"
173650072,"12/31/2017","12/30/2017","23:15:00","43 JESSE HILL JR DR NE",2,"Morn","Sat",13,"LARCENY-FROM VEHICLE","Downtown","M",-84.38013,33.75582
173650102,"12/31/2017","12/18/2017","13:00:00","1169 ATLANTIC DR NW",1,"Unk","Unk",13,"LARCENY-FROM VEHICLE","Home Park","E",-84.39745,33.78674
173650144,"12/31/2017","12/30/2017","22:01:00","633 PRYOR ST SW",1,"Morn","Sat",18,"LARCENY-FROM VEHICLE","Mechanicsville","V",-84.39486,33.7376
173650149,"12/31/2017","12/30/2017","20:00:00","333 NELSON ST SW",1,"Eve","Sat",18,"LARCENY-FROM VEHICLE","Castleberry Hill","M",-84.39887,33.75156
173650159,"12/31/2017","12/31/2017","00:41:00","2348 CASCADE RD SW",2,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Adams Park","R",-84.46522,33.72146
173650180,"12/31/2017","12/30/2017","23:00:00","1245 GLENWOOD AVE SE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","East Atlanta","W",-84.3466,33.74006
173650236,"12/31/2017","12/31/2017","01:55:00","351 CHEROKEE AVE SE",1,"Morn","Sun",26,"ROBBERY-PEDESTRIAN","Grant Park","W",-84.37373,33.74505
173650241,"12/31/2017","12/31/2017","00:00:00","461 PONCE DE LEON AVE NE",1,"Morn","Sun",18,"LARCENY-FROM VEHICLE","Old Fourth Ward","M",-84.3719,33.77303
173650295,"12/31/2017","12/30/2017","00:00:00","437 MEMORIAL DR SE",1,"Unk","Sat",13,"LARCENY-FROM VEHICLE","Grant Park","W",-84.37285,33.74639
173650389,"12/31/2017","12/31/2017","00:00:00","1053 LINAM ST SE",1,"Morn","Sun",26,"BURGLARY-RESIDENCE","Peoplestown","V",-84.38625,33.72579
173650449,"12/31/2017","12/31/2017","00:40:00","683 PRYOR ST SW",1,"Morn","Sun",13,"AUTO THEFT","Mechanicsville","V",-84.39495,33.73616
173650562,"12/31/2017","12/31/2017","00:00:00","192 CHICAMAUGA AVE SW",1,"Morn","Sun",NA,"LARCENY-FROM VEHICLE","Mozley Park","K",-84.43192,33.74974
173650568,"12/31/2017","12/31/2017","06:00:00","2640 METROPOLITAN PKWY SW",1,"Morn","Sun",NA,"BURGLARY-NONRES","Perkerson","X",-84.40766,33.68243
173650573,"12/31/2017","12/31/2017","06:00:00","201 MOURY AVE SW",2,"Morn","Sun",26,"ROBBERY-RESIDENCE","The Villages at Carver","Y",-84.39276,33.71691
