"BookTitle","AuthorName","BookRating"
"Taste of Fire","Jeannie Faulkner Barber","4.18"
"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson","4.12"
"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson","4.23"
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson","4.21"
"Heavy Duty People (Brethren Trilogy #1)","Iain Parke","3.96"
"Closure","Angela Ford","4.15"
"Among the Shrouded","Amalie Jahn","3.98"
"The Liquidator","Iain Parke","3.92"
"A Game of Proof","Tim Vicary","3.80"
"A Dead Husband (Jessica Huntington, #1)","Anna Celeste Burke","4.15"
"Shutter Island","Dennis Lehane","4.08"
"Heavy Duty Trouble (Brethren Trilogy #3)","Iain Parke","4.15"
"Heavy Duty Attitude (Brethren Trilogy #2)","Iain Parke","4.17"
"In Cold Blood","Truman Capote","4.06"
"The Black Echo (Harry Bosch, #1; Harry Bosch Universe, #1)","Michael Connelly","4.09"
"A Time to Kill","John Grisham","4.04"
"Presumed Innocent","Scott Turow","4.10"
"Forbidden","Angela Ford","4.50"
"Deadly Thyme","R.L. Nolen","3.97"
"The Silence of the Lambs  (Hannibal Lecter, #2)","Thomas   Harris","4.16"
"Take No More (James Blake, #1)","Seb Kirby","3.50"
"Cisco Bandits: A Gwynn Reznick Novel","Inge-Lise Goss","4.43"
"Polar Night","Julie Flanders","4.36"
"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)","Michael Connelly","4.13"
"Kiss the Girls (Alex Cross, #2)","James Patterson","3.94"
"Mourning Reign","Edward Hancock II","3.85"
"Gone, Baby, Gone (Kenzie & Gennaro, #4)","Dennis Lehane","4.14"
"Eye of the Needle","Ken Follett","4.17"
"Into the Killer Sphere (Chase Williams detective stories #1)","Stefania Mattana","4.25"
"Midnight Sin","Michael Tabman","4.14"
"The Narrows (Harry Bosch, #10; Harry Bosch Universe, #13)","Michael Connelly","4.11"
"Smilla's Sense of Snow","Peter Hoeg","3.73"
"The Monkey's Raincoat (Elvis Cole, #1)","Robert Crais","3.98"
"Angels Flight (Harry Bosch, #6; Harry Bosch Universe, #7)","Michael Connelly","4.14"
"I is for Innocent (Kinsey Millhone, #9)","Sue Grafton","3.91"
"The Woods","Harlan Coben","4.04"
"1st to Die (Women's Murder Club, #1)","James Patterson","4.06"
"The Sinner (Rizzoli & Isles, #3)","Tess Gerritsen","4.13"
"The Neon Rain (Dave Robicheaux, #1)","James Lee Burke","3.97"
"Blindsighted (Grant County, #1)","Karin Slaughter","4.10"
"Faceless Killers (Kurt Wallander, #1)","Henning Mankell","3.77"
"BAD INTENT Volume 1","Michael Tabman","4.52"
"Angels & Demons  (Robert Langdon, #1)","Dan Brown","3.87"
"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #11)","Michael Connelly","4.17"
"A Great Deliverance (Inspector Lynley, #1)","Elizabeth  George","4.06"
"The Runaway Jury","John Grisham","3.97"
"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #10)","Michael Connelly","4.06"
"Bare Bones (Temperance Brennan, #6)","Kathy Reichs","3.96"
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #17)","Michael Connelly","4.15"
"The Disappearance of Emilie Brunet","Antoine Bello","3.59"
"The Missing Piece","Antoine Bello","3.62"
"C is for Corpse  (Kinsey Millhone, #3)","Sue Grafton","3.88"
"A Darkness More Than Night (Harry Bosch, #7; Terry McCaleb, #2; Harry Bosch Universe, #9)","Michael Connelly","4.13"
"In the Woods (Dublin Murder Squad, #1)","Tana French","3.75"
"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)","Michael Connelly","4.06"
"The Devil's Star (Harry Hole, #5)","Jo Nesbo","4.03"
"A Thief of Time (Leaphorn & Chee, #8)","Tony Hillerman","4.06"
"Portrait of Guilt","Anthony Hulse","4.67"
"DÇjÖ Dead (Temperance Brennan, #1)","Kathy Reichs","3.86"
"Bold Counsel (The Trials of Sarah Newby, #3)","Tim Vicary","4.03"
"The Keeper of Lost Causes (Department Q, #1)","Jussi Adler-Olsen","3.98"
"Insanity Never Sleeps","Anthony Hulse","4.41"
"With No One as Witness (Inspector Lynley, #13)","Elizabeth  George","4.02"
"Want To Play? (Monkeewrench #1)","P.J. Tracy","4.11"
"A Drink Before the War (Kenzie & Gennaro, #1)","Dennis Lehane","3.96"
"A Plague of Dissent","Nic  Taylor","3.83"
"A Traitor to Memory (Inspector Lynley, #11)","Elizabeth  George","3.95"
"The Past Never Ends","Jackson Burnett","3.87"
"The Firm","John Grisham","3.99"
"Death du Jour (Temperance Brennan, #2)","Kathy Reichs","3.96"
"Monday Mourning (Temperance Brennan, #7)","Kathy Reichs","4.02"
"Jar City (Inspector Erlendur, #3)","Arnaldur Indridason","3.80"
"In the Presence of the Enemy (Inspector Lynley, #8)","Elizabeth  George","4.08"
"A Suitable Vengeance (Inspector Lynley, #4)","Elizabeth  George","4.02"
"Fatal Voyage (Temperance Brennan, #4)","Kathy Reichs","4.04"
"Deadly Decisions (Temperance Brennan, #3)","Kathy Reichs","3.93"
"Insanity Never Sleeps II the Resurrection","Anthony Hulse","4.84"
"Bushfire","Paul Anthony","4.38"
"T is for Trespass (Kinsey Millhone, #20)","Sue Grafton","3.93"
"Unraveled","S.X. Bradley","4.03"
"Blind Descent (Anna Pigeon, #6)","Nevada Barr","4.06"
"Half Built Houses (Charley Trilogy #1)","Eric  Keller","4.55"
"K is for Killer (Kinsey Millhone, #11)","Sue Grafton","3.98"
"L.A. Requiem (Elvis Cole, #8)","Robert Crais","4.26"
"Any Other Name (Walt Longmire, #10)","Craig Johnson","4.24"
"The Elephant Tree","R.D. Ronald","3.52"
"Bones to Ashes (Temperance Brennan, #10)","Kathy Reichs","3.93"
"Presumed Dead (A Dylan Scott Mystery #1)","Shirley Wells","3.86"
"Cross Bones (Temperance Brennan, #8)","Kathy Reichs","3.87"
"The Guards (Jack Taylor, #1)","Ken Bruen","3.88"
"Kisscut (Grant County, #2)","Karin Slaughter","4.11"
"Last Bus to Woodstock (Inspector Morse, #1)","Colin Dexter","3.92"
"Thirteen Hours (Benny Griessel, #2)","Deon Meyer","4.08"
"If I'd Killed Him When I Met Him... (Elizabeth MacPherson, #8)","Sharyn McCrumb","3.86"
"The Boy in the Suitcase (Nina Borg, #1)","Lene Kaaberbol","3.60"
"Tropical Dreams","Kelly Cozzone","4.46"
"And Then There Were None","Agatha Christie","4.24"
"Think of a Number (Dave Gurney, #1)","John Verdon","3.84"
"Murder Most Immoral","Anthony Hulse","4.69"
"Winter Prey (Lucas Davenport, #5)","John Sandford","4.25"
"The Zombie Room","R.D. Ronald","3.60"
"Until Proven Guilty (J.P. Beaumont, #1)","J.A. Jance","3.93"
"Rules of Prey (Lucas Davenport, #1)","John Sandford","4.13"
"The Yiddish Policemen's Union","Michael Chabon","3.70"
"Gone Girl","Gillian Flynn","4.04"
"Grave Secrets (Temperance Brennan, #5)","Kathy Reichs","3.98"
"Spider Bones (Temperance Brennan, #13)","Kathy Reichs","3.91"
"Notorious Nineteen (Stephanie Plum, #19)","Janet Evanovich","3.91"
"Fade Away (Myron Bolitar #3)","Harlan Coben","3.99"
"Dead Simple (Roy Grace, #1)","Peter James","4.04"
"Dead at Daybreak","Deon Meyer","4.01"
"The Trouble With Change","Alma Hudson","3.78"
"Secrets of Eden","Chris Bohjalian","3.43"
"The Lost Days: Book Three of The Killing Game Series","The Black Rose","4.67"
"Magnolias in Paradise","Leonard Seet","4.50"
"Missing You","Harlan Coben","3.96"
"The Rosary Girls (Jessica Balzano & Kevin Byrne, #1)","Richard Montanari","4.01"
"Careless in Red (Inspector Lynley, #15)","Elizabeth  George","3.89"
"Shadow Prey (Lucas Davenport, #2)","John Sandford","3.99"
"Who in Hell Is Wanda Fuca? (Leo Waterman, #1)","G.M. Ford","3.80"
"The Skin Gods (Jessica Balzano & Kevin Byrne, #2)","Richard Montanari","3.93"
"Sharp Objects","Gillian Flynn","3.93"
"Deep South (Anna Pigeon, #8)","Nevada Barr","3.91"
"Black and Blue (Inspector Rebus, #8)","Ian Rankin","4.08"
"Personal (Jack Reacher, #19)","Lee Child","3.91"
"The No. 1 Ladies' Detective Agency","Alexander McCall Smith","3.76"
"Playing for the Ashes (Inspector Lynley, #7)","Elizabeth  George","4.05"
"Break No Bones (Temperance Brennan, #9)","Kathy Reichs","3.96"
"A Cold Day For Murder (Kate Shugak, #1)","Dana Stabenow","3.72"
"Strong Poison (Lord Peter Wimsey, #6)","Dorothy L. Sayers","4.14"
"Along Came a Spider (Alex Cross, #1)","James Patterson","4.09"
"Ashes to Ashes (Kovac and Liska, #1)","Tami Hoag","4.04"
"The Coroner's Lunch (Dr. Siri Paiboun, #1)","Colin Cotterill","3.97"
"Finding Claire Fletcher (Claire Fletcher & Detective Parks Mystery #1)","Lisa  Regan","4.12"
"Find Virgil","Frank Freudberg","3.97"
"Borderline (Anna Pigeon, #15)","Nevada Barr","3.89"
"206 Bones (Temperance Brennan, #12)","Kathy Reichs","3.92"
"Drop Shot (Myron Bolitar #2)","Harlan Coben","3.93"
"Stolen Prey (Lucas Davenport, #22)","John Sandford","4.18"
"Field of Prey (Lucas Davenport, #24)","John Sandford","4.22"
"Out","Natsuo Kirino","3.93"
"Bring a Shovel and a Gun","Charles Newson","3.97"
"A Superior Death (Anna Pigeon, #2)","Nevada Barr","3.90"
